"Date","Price","Open","High","Low","Vol.","Change %"
"05/09/2025","183.90","183.50","184.50","183.20","666.21K","0.65%"
"05/08/2025","182.72","182.62","183.22","181.60","648.97K","0.11%"
"05/07/2025","182.52","182.42","183.16","181.06","717.10K","-0.52%"
"05/06/2025","183.48","184.20","184.92","182.98","604.90K","-0.24%"
"05/05/2025","183.92","185.10","185.64","182.82","713.35K","-0.71%"
"05/02/2025","185.24","186.20","186.22","182.98","1.19M","2.59%"
"04/30/2025","180.56","179.08","180.96","178.72","1.10M","0.97%"
"04/29/2025","178.82","177.48","179.26","176.56","636.05K","0.35%"
"04/28/2025","178.20","178.58","179.68","177.94","624.35K","-0.13%"
"04/25/2025","178.44","178.80","179.74","178.02","687.11K","-0.08%"
"04/24/2025","178.58","174.76","179.48","174.20","674.31K","2.22%"
"04/23/2025","174.70","176.62","176.64","173.18","880.21K","-0.10%"
"04/22/2025","174.88","174.00","175.36","173.08","714.58K","0.98%"
"04/17/2025","173.18","174.88","175.26","172.78","701.72K","-0.86%"
"04/16/2025","174.68","174.26","175.00","173.38","702.35K","0.24%"
"04/15/2025","174.26","171.00","174.70","170.68","698.46K","2.15%"
"04/14/2025","170.60","171.08","171.46","169.64","730.36K","1.34%"
"04/11/2025","168.34","168.00","169.28","164.66","988.77K","0.80%"
"04/10/2025","167.00","170.00","171.38","167.00","1.45M","3.91%"
"04/09/2025","160.72","162.82","164.18","159.06","1.34M","-3.19%"
"04/08/2025","166.02","163.20","167.24","161.72","1.44M","3.37%"
"04/07/2025","160.60","166.02","169.32","160.22","2.51M","-7.27%"
"04/04/2025","173.20","174.00","178.14","173.20","1.93M","-0.63%"
"04/03/2025","174.30","175.20","177.32","173.10","1.25M","-2.14%"
"04/02/2025","178.12","176.24","178.22","176.00","894.18K","0.56%"
"04/01/2025","177.12","175.98","177.56","175.18","1.03M","1.13%"
"03/31/2025","175.14","175.24","176.12","174.24","1.08M","-0.67%"
"03/28/2025","176.32","176.16","177.32","175.62","931.92K","-0.07%"
"03/27/2025","176.44","176.04","177.10","175.26","626.21K","-0.17%"
"03/26/2025","176.74","178.88","178.96","176.06","658.34K","-1.11%"
"03/25/2025","178.72","177.88","179.72","177.80","700.62K","0.78%"
"03/24/2025","177.34","179.22","179.86","177.12","826.85K","-0.10%"
"03/21/2025","177.52","177.98","178.48","176.82","1.56M","-0.15%"
"03/20/2025","177.78","179.96","180.40","177.46","719.73K","-1.31%"
"03/19/2025","180.14","179.58","180.78","178.96","515.14K","0.09%"
"03/18/2025","179.98","180.56","181.18","179.52","801.85K","-0.29%"
"03/17/2025","180.50","180.94","181.58","179.34","647.13K","0.12%"
"03/14/2025","180.28","179.02","181.52","178.78","738.75K","0.56%"
"03/13/2025","179.28","178.96","180.90","178.46","650.20K","-0.23%"
"03/12/2025","179.70","179.32","181.70","178.64","695.10K","1.19%"
"03/11/2025","177.58","184.04","185.78","177.58","1.26M","-3.10%"
"03/10/2025","183.26","181.66","184.78","180.32","1.24M","1.64%"
"03/07/2025","180.30","180.26","180.54","178.46","1.09M","-0.11%"
"03/06/2025","180.50","181.84","182.20","177.94","1.07M","-0.23%"
"03/05/2025","180.92","179.06","181.56","178.16","1.00M","1.72%"
"03/04/2025","177.86","177.80","179.14","176.70","919.59K","-1.01%"
"03/03/2025","179.68","176.06","180.60","174.88","1.10M","1.73%"
"02/28/2025","176.62","173.94","176.86","173.80","1.51M","1.19%"
"02/27/2025","174.54","175.52","175.90","173.76","708.59K","-0.80%"
"02/26/2025","175.94","175.52","176.62","175.14","540.84K","0.25%"
"02/25/2025","175.50","174.14","175.72","173.60","684.36K","0.41%"
"02/24/2025","174.78","179.02","179.44","174.30","568.19K","-2.03%"
"02/21/2025","178.40","177.64","179.80","177.06","1.44M","3.25%"
"02/20/2025","172.78","172.04","173.36","171.94","722.34K","0.22%"
"02/19/2025","172.40","174.24","174.44","171.72","702.51K","-1.12%"
"02/18/2025","174.36","173.40","174.76","172.60","871.30K","0.21%"
"02/17/2025","174.00","173.78","174.34","173.18","436.00K","-0.06%"
"02/14/2025","174.10","171.76","174.84","171.48","1.02M","0.59%"
"02/13/2025","173.08","171.44","173.92","170.82","743.23K","1.32%"
"02/12/2025","170.82","170.44","171.08","169.22","649.13K","0.11%"
"02/11/2025","170.64","169.70","171.22","169.54","463.94K","0.51%"
"02/10/2025","169.78","169.24","169.94","168.04","787.95K","0.39%"
"02/07/2025","169.12","171.00","171.44","168.82","634.75K","-0.70%"
"02/06/2025","170.32","167.92","170.44","166.00","1.06M","1.60%"
"02/05/2025","167.64","167.64","168.16","166.54","518.18K","-0.38%"
"02/04/2025","168.28","167.34","168.48","166.30","630.44K","0.29%"
"02/03/2025","167.80","165.46","167.90","164.86","840.96K","-0.47%"
