"Date","Price","Open","High","Low","Vol.","Change %"
"05/09/2025","158.44","159.12","159.58","158.02","954.53K","0.04%"
"05/08/2025","158.38","155.84","158.62","155.48","1.16M","2.46%"
"05/07/2025","154.58","156.88","157.10","153.76","1.23M","-1.32%"
"05/06/2025","156.64","159.00","159.20","153.48","1.21M","-1.04%"
"05/05/2025","158.28","155.60","158.86","155.40","1.00M","2.14%"
"05/02/2025","154.96","152.88","155.46","151.28","2.68M","5.31%"
"04/30/2025","147.14","143.98","147.54","143.86","1.98M","2.19%"
"04/29/2025","143.98","145.08","146.12","143.50","1.15M","-0.24%"
"04/28/2025","144.32","142.66","145.98","142.42","1.56M","2.65%"
"04/25/2025","140.60","139.50","141.58","138.90","1.44M","2.43%"
"04/24/2025","137.26","138.84","139.30","136.82","1.39M","-1.14%"
"04/23/2025","138.84","135.50","141.50","135.20","1.84M","4.34%"
"04/22/2025","133.06","133.82","133.82","131.90","1.95M","-1.77%"
"04/17/2025","135.46","139.61","139.83","134.39","1.56M","-2.88%"
"04/16/2025","139.47","139.15","139.49","137.54","1.49M","-0.31%"
"04/15/2025","139.91","137.98","140.48","137.47","1.82M","0.46%"
"04/14/2025","139.26","139.30","139.84","137.32","1.62M","3.26%"
"04/11/2025","134.86","141.60","141.68","133.36","1.97M","-3.30%"
"04/10/2025","139.46","150.20","150.28","139.20","2.56M","4.48%"
"04/09/2025","133.48","135.98","138.02","131.52","2.10M","-4.82%"
"04/08/2025","140.24","139.40","142.94","138.00","2.03M","2.51%"
"04/07/2025","136.80","132.22","150.00","126.40","3.90M","-6.88%"
"04/04/2025","146.90","157.14","157.28","144.74","2.91M","-7.04%"
"04/03/2025","158.02","155.98","159.22","153.70","1.96M","-2.90%"
"04/02/2025","162.74","167.00","167.72","160.76","1.38M","-3.17%"
"04/01/2025","168.06","163.56","168.06","163.16","1.20M","3.24%"
"03/31/2025","162.78","164.68","164.98","161.60","1.23M","-2.09%"
"03/28/2025","166.26","167.18","167.98","165.32","996.79K","-1.45%"
"03/27/2025","168.70","168.04","169.64","166.24","967.42K","-1.08%"
"03/26/2025","170.54","172.86","173.30","169.32","819.11K","-1.03%"
"03/25/2025","172.32","167.36","172.32","167.22","960.60K","3.05%"
"03/24/2025","167.22","168.30","169.28","166.18","728.66K","0.35%"
