"Date","Price","Open","High","Low","Vol.","Change %"
"05/09/2025","2,453.00","2,461.00","2,476.00","2,446.00","53.35K","0.33%"
"05/08/2025","2,445.00","2,437.00","2,466.00","2,420.00","66.12K","1.33%"
"05/07/2025","2,413.00","2,438.00","2,442.00","2,404.00","54.51K","-1.11%"
"05/06/2025","2,440.00","2,463.00","2,468.00","2,410.00","50.46K","-1.09%"
"05/05/2025","2,467.00","2,440.00","2,470.00","2,426.00","43.66K","0.61%"
"05/02/2025","2,452.00","2,400.00","2,460.00","2,381.00","88.08K","2.55%"
"04/30/2025","2,391.00","2,394.00","2,397.00","2,359.00","90.40K","0.21%"
"04/29/2025","2,386.00","2,404.00","2,422.00","2,378.00","51.94K","-0.38%"
"04/28/2025","2,395.00","2,385.00","2,407.00","2,381.00","50.05K","0.59%"
"04/25/2025","2,381.00","2,411.00","2,423.00","2,370.00","61.09K","-0.17%"
"04/24/2025","2,385.00","2,363.00","2,393.00","2,331.00","47.34K","1.15%"
"04/23/2025","2,358.00","2,322.00","2,404.00","2,307.00","88.81K","2.25%"
"04/22/2025","2,306.00","2,306.00","2,310.00","2,235.00","64.05K","0.83%"
"04/17/2025","2,287.00","2,279.00","2,346.00","2,264.00","105.29K","-3.22%"
"04/16/2025","2,363.00","2,336.00","2,368.00","2,299.00","63.56K","0.34%"
"04/15/2025","2,355.00","2,300.00","2,355.00","2,291.00","79.02K","0.21%"
"04/14/2025","2,350.00","2,324.00","2,355.00","2,310.00","73.88K","2.75%"
"04/11/2025","2,287.00","2,315.00","2,324.00","2,248.00","62.53K","-0.04%"
"04/10/2025","2,288.00","2,362.00","2,380.00","2,274.00","102.71K","2.97%"
"04/09/2025","2,222.00","2,171.00","2,255.00","2,162.00","105.80K","-0.80%"
"04/08/2025","2,240.00","2,185.00","2,267.00","2,151.00","128.64K","4.92%"
"04/07/2025","2,135.00","2,135.00","2,277.00","2,097.00","200.69K","-6.07%"
"04/04/2025","2,273.00","2,334.00","2,343.00","2,238.00","155.10K","-2.82%"
"04/03/2025","2,339.00","2,370.00","2,376.00","2,321.00","100.73K","-3.51%"
"04/02/2025","2,424.00","2,430.00","2,444.00","2,411.00","52.60K","-0.04%"
"04/01/2025","2,425.00","2,426.00","2,434.00","2,404.00","57.56K","0.58%"
"03/31/2025","2,411.00","2,410.00","2,432.00","2,392.00","71.33K","-1.03%"
"03/28/2025","2,436.00","2,460.00","2,470.00","2,413.00","66.54K","-1.54%"
"03/27/2025","2,474.00","2,458.00","2,479.00","2,443.00","53.45K","0.08%"
"03/26/2025","2,472.00","2,525.00","2,525.00","2,462.00","53.15K","-1.59%"
"03/25/2025","2,512.00","2,499.00","2,512.00","2,475.00","40.43K","0.56%"
"03/24/2025","2,498.00","2,530.00","2,540.00","2,473.00","65.15K","-0.60%"
"03/21/2025","2,513.00","2,500.00","2,513.00","2,475.00","140.22K","0.20%"
"03/20/2025","2,508.00","2,488.00","2,521.00","2,478.00","64.70K","0.80%"
"03/19/2025","2,488.00","2,435.00","2,500.00","2,432.00","53.75K","1.72%"
"03/18/2025","2,446.00","2,483.00","2,492.00","2,437.00","79.62K","-1.61%"
"03/17/2025","2,486.00","2,509.00","2,514.00","2,467.00","61.38K","-0.92%"
"03/14/2025","2,509.00","2,476.00","2,541.00","2,465.00","60.81K","1.41%"
