"Date","Price","Open","High","Low","Vol.","Change %"
"05/09/2025","177.92","177.18","180.20","177.00","210.25K","1.40%"
"05/08/2025","175.46","172.50","177.32","170.18","249.87K","2.48%"
"05/07/2025","171.22","176.00","176.70","171.10","291.62K","-2.72%"
"05/06/2025","176.00","176.22","176.84","172.00","194.02K","-0.08%"
"05/05/2025","176.14","181.28","182.14","175.88","208.76K","-4.64%"
"05/02/2025","184.72","180.96","184.72","179.78","431.18K","3.58%"
"04/30/2025","178.34","178.14","181.42","175.20","282.78K","-0.02%"
"04/29/2025","178.38","179.14","180.72","176.84","210.50K","-0.07%"
"04/28/2025","178.50","174.76","180.18","174.76","273.11K","2.29%"
"04/25/2025","174.50","176.48","178.82","172.24","280.09K","0.73%"
"04/24/2025","173.24","163.40","173.24","162.80","553.99K","-0.97%"
"04/23/2025","174.94","172.80","181.80","172.80","499.43K","2.95%"
"04/22/2025","169.92","166.96","170.20","161.86","274.86K","3.31%"
"04/17/2025","164.48","163.86","166.86","163.12","257.07K","-0.21%"
"04/16/2025","164.82","160.08","164.82","159.54","281.18K","1.69%"
"04/15/2025","162.08","165.68","169.10","162.08","364.19K","-5.22%"
"04/14/2025","171.00","173.26","173.60","169.10","391.93K","1.77%"
"04/11/2025","168.02","164.00","169.36","161.78","351.94K","3.55%"
"04/10/2025","162.26","175.98","176.24","162.26","676.21K","3.40%"
"04/09/2025","156.92","157.42","164.00","155.56","535.73K","-5.42%"
"04/08/2025","165.92","168.48","170.10","160.32","618.69K","1.10%"
"04/07/2025","164.12","156.42","177.00","149.78","887.25K","-3.94%"
"04/04/2025","170.86","177.00","180.58","166.12","689.27K","-3.78%"
"04/03/2025","177.58","185.90","188.94","177.32","840.59K","-7.51%"
"04/02/2025","192.00","191.00","193.80","190.64","328.10K","0.29%"
"04/01/2025","191.44","193.22","193.96","190.12","400.56K","0.27%"
"03/31/2025","190.92","196.68","197.60","190.30","534.06K","-4.18%"
"03/28/2025","199.24","199.90","202.50","199.10","404.98K","-1.49%"
"03/27/2025","202.25","201.00","204.85","200.55","341.28K","0.07%"
"03/26/2025","202.10","201.75","204.65","199.52","412.23K","0.50%"
"03/25/2025","201.10","201.95","205.20","200.10","451.98K","-0.64%"
"03/24/2025","202.40","207.00","208.10","198.90","563.95K","-2.13%"
"03/21/2025","206.80","208.20","209.95","202.15","708.14K","-1.71%"
"03/20/2025","210.40","214.45","215.35","210.40","423.18K","-1.89%"
"03/19/2025","214.45","215.95","217.40","212.95","409.52K","-1.27%"
"03/18/2025","217.20","217.70","219.25","214.95","447.15K","-0.09%"
"03/17/2025","217.40","223.65","223.80","216.90","473.18K","-2.75%"
"03/14/2025","223.55","228.00","228.50","215.85","1.42M","-10.71%"
"03/13/2025","250.35","247.80","252.45","242.85","391.63K","0.24%"
"03/12/2025","249.75","254.25","254.25","244.30","357.25K","-0.89%"
"03/11/2025","252.00","260.05","260.55","249.05","407.04K","-1.18%"
"03/10/2025","255.00","251.45","257.70","246.75","447.29K","2.41%"
"03/07/2025","249.00","255.40","255.80","242.80","494.92K","-3.90%"
"03/06/2025","259.10","261.80","266.15","256.00","329.00K","0.02%"
"03/05/2025","259.05","262.90","264.05","257.40","304.45K","1.39%"
"03/04/2025","255.50","264.45","265.50","253.05","389.61K","-4.88%"
"03/03/2025","268.60","269.70","275.50","268.45","207.31K","-0.92%"
"02/28/2025","271.10","268.80","272.30","266.15","500.71K","-0.95%"
"02/27/2025","273.70","271.05","277.05","268.90","350.08K","-0.85%"
"02/26/2025","276.05","275.75","281.20","275.30","340.11K","1.79%"
"02/25/2025","271.20","271.75","273.75","270.25","190.58K","-0.99%"
"02/24/2025","273.90","277.05","279.60","272.65","212.30K","-1.12%"
"02/21/2025","277.00","270.35","277.30","270.10","360.83K","2.50%"
"02/20/2025","270.25","269.85","278.55","269.65","333.21K","0.00%"
"02/19/2025","270.25","272.95","274.00","268.80","277.92K","-1.49%"
"02/18/2025","274.35","280.25","280.30","272.00","370.90K","-2.05%"
"02/17/2025","280.10","277.45","281.75","276.80","259.12K","0.04%"
"02/14/2025","280.00","279.55","283.35","275.90","646.96K","1.74%"
"02/13/2025","275.20","273.90","275.95","267.35","600.65K","3.95%"
"02/12/2025","264.75","250.00","267.85","249.95","813.41K","7.01%"
"02/11/2025","247.40","248.00","260.50","241.45","674.13K","1.31%"
"02/10/2025","244.20","241.30","244.45","239.60","331.98K","1.08%"
"02/07/2025","241.60","251.90","253.85","241.15","446.54K","-4.09%"
"02/06/2025","251.90","239.70","253.75","235.10","700.36K","3.09%"
"02/05/2025","244.35","248.75","250.00","243.15","224.13K","-1.45%"
"02/04/2025","247.95","244.35","250.10","240.70","269.82K","1.64%"
"02/03/2025","243.95","243.70","246.20","241.95","400.35K","-3.75%"
"01/31/2025","253.45","257.60","258.55","252.65","298.15K","-0.98%"
"01/30/2025","255.95","247.70","258.05","245.05","416.22K","3.94%"
"01/29/2025","246.25","247.75","249.05","238.80","676.51K","-5.40%"
"01/28/2025","260.30","262.05","264.70","260.30","265.90K","-0.86%"
"01/27/2025","262.55","256.65","264.00","254.80","401.84K","1.65%"
"01/24/2025","258.30","269.90","272.95","255.95","762.19K","4.49%"
"01/23/2025","247.20","244.70","247.50","240.65","289.53K","0.90%"
