"Date","Price","Open","High","Low","Vol.","Change %"
"05/09/2025","383.20","376.90","384.10","376.75","357.88K","2.09%"
"05/08/2025","375.35","377.20","378.90","373.95","299.63K","0.25%"
"05/07/2025","374.40","379.75","381.50","373.10","408.23K","-1.76%"
"05/06/2025","381.10","389.90","390.95","379.60","308.68K","-2.24%"
"05/05/2025","389.85","388.50","390.20","386.80","213.21K","-0.88%"
"05/02/2025","393.30","390.85","394.67","382.45","589.94K","1.63%"
"04/30/2025","387.00","387.45","389.80","383.45","805.83K","-0.26%"
"04/29/2025","388.00","381.85","388.00","381.30","509.37K","2.32%"
"04/28/2025","379.20","376.00","381.45","375.50","282.45K","1.34%"
"04/25/2025","374.20","382.35","383.60","374.20","423.53K","-1.73%"
"04/24/2025","380.80","374.75","380.80","373.70","412.82K","1.68%"
"04/23/2025","374.50","363.95","380.35","363.45","772.32K","3.05%"
"04/22/2025","363.40","349.40","363.80","346.85","702.09K","6.30%"
"04/17/2025","341.85","337.70","345.70","337.05","428.21K","0.07%"
"04/16/2025","341.60","342.40","343.50","337.10","532.24K","-0.64%"
"04/15/2025","343.80","342.50","347.65","337.15","519.15K","-2.00%"
"04/14/2025","350.80","351.60","354.00","348.95","472.08K","0.92%"
"04/11/2025","347.60","350.15","352.30","341.85","449.95K","0.16%"
"04/10/2025","347.05","345.80","358.85","343.95","579.04K","3.41%"
"04/09/2025","335.60","336.45","340.10","330.55","672.17K","-2.33%"
"04/08/2025","343.60","343.40","346.60","335.60","750.37K","2.31%"
"04/07/2025","335.85","335.25","348.20","326.65","1.40M","-3.96%"
"04/04/2025","349.70","352.15","364.45","347.85","976.59K","-0.34%"
"04/03/2025","350.90","351.55","356.80","345.70","774.02K","-1.50%"
"04/02/2025","356.25","352.60","357.55","351.65","506.33K","0.89%"
"04/01/2025","353.10","346.95","354.55","344.80","461.16K","2.99%"
"03/31/2025","342.85","342.25","345.40","340.75","444.70K","-0.65%"
"03/28/2025","345.10","340.80","347.00","339.75","418.67K","0.91%"
"03/27/2025","342.00","341.05","343.30","337.70","371.88K","-0.22%"
"03/26/2025","342.75","347.40","348.50","342.10","415.64K","-1.57%"
"03/25/2025","348.20","347.95","353.75","347.50","353.06K","-0.29%"
"03/24/2025","349.20","355.25","357.65","347.75","411.52K","-1.01%"
"03/21/2025","352.75","360.15","361.00","352.05","808.31K","-2.18%"
