"Date","Price","Open","High","Low","Vol.","Change %"
"05/09/2025","495.75","492.40","498.25","491.45","503.88K","1.73%"
"05/08/2025","487.30","485.80","496.70","482.35","673.67K","0.79%"
"05/07/2025","483.50","489.10","491.00","482.00","542.05K","-1.14%"
"05/06/2025","489.10","492.00","492.95","484.40","476.85K","-0.64%"
"05/05/2025","492.25","496.80","497.90","490.55","389.64K","-0.73%"
"05/02/2025","495.85","496.20","497.80","485.95","793.01K","1.63%"
"04/30/2025","487.90","490.90","493.35","483.20","889.22K","-0.29%"
"04/29/2025","489.30","499.70","503.20","489.30","711.37K","-2.53%"
"04/28/2025","502.00","502.30","507.10","501.10","517.43K","0.64%"
"04/25/2025","498.80","504.00","506.50","497.25","561.90K","-0.18%"
"04/24/2025","499.70","490.25","501.80","486.05","605.88K","-0.12%"
"04/23/2025","500.30","492.35","515.10","491.85","844.26K","2.67%"
"04/22/2025","487.30","489.45","489.80","471.25","809.14K","0.35%"
"04/17/2025","485.60","482.10","493.30","480.95","902.70K","0.08%"
"04/16/2025","485.20","483.00","489.00","479.30","1.09M","-0.71%"
"04/15/2025","488.65","501.00","502.40","484.75","1.69M","-7.82%"
"04/14/2025","530.10","535.00","536.00","524.60","593.48K","1.09%"
"04/11/2025","524.40","528.20","532.00","512.80","574.90K","0.04%"
"04/10/2025","524.20","547.40","548.00","520.40","912.11K","5.18%"
"04/09/2025","498.40","496.70","510.60","494.15","984.16K","-4.12%"
"04/08/2025","519.80","517.40","526.80","501.30","902.07K","2.40%"
"04/07/2025","507.60","500.00","539.60","482.55","1.53M","-4.23%"
"04/04/2025","530.00","544.20","547.90","521.70","1.17M","-2.38%"
"04/03/2025","542.90","561.70","563.00","541.30","907.03K","-5.62%"
"04/02/2025","575.20","572.70","578.00","571.30","423.44K","0.02%"
"04/01/2025","575.10","579.10","579.30","572.10","485.07K","0.59%"
"03/31/2025","571.70","580.00","582.00","567.90","657.68K","-2.62%"
"03/28/2025","587.10","584.70","590.00","580.80","619.97K","-0.34%"
"03/27/2025","589.10","590.50","594.40","586.20","500.51K","-0.91%"
"03/26/2025","594.50","599.20","600.10","591.80","427.92K","-0.64%"
"03/25/2025","598.30","598.00","605.50","596.20","455.18K","0.34%"
"03/24/2025","596.30","605.70","609.40","595.70","416.60K","-1.03%"
"03/21/2025","602.50","600.90","602.50","593.50","1.13M","-0.33%"
"03/20/2025","604.50","605.60","611.20","601.10","443.42K","-1.00%"
"03/19/2025","610.60","607.90","614.80","605.20","412.98K","0.10%"
"03/18/2025","610.00","612.60","616.20","608.20","456.80K","0.05%"
"03/17/2025","609.70","605.40","611.20","600.00","431.81K","0.76%"
"03/14/2025","605.10","604.00","619.40","600.10","583.74K","0.02%"
"03/13/2025","605.00","606.00","616.80","598.60","696.16K","-1.11%"
"03/12/2025","611.80","624.50","625.40","605.60","594.28K","-1.45%"
"03/11/2025","620.80","635.80","635.80","616.50","538.93K","-1.51%"
"03/10/2025","630.30","636.20","640.00","624.70","643.78K","-0.69%"
"03/07/2025","634.70","647.70","647.80","628.60","809.71K","-2.80%"
"03/06/2025","653.00","669.80","669.80","646.30","639.97K","-1.70%"
"03/05/2025","664.30","680.30","681.40","664.30","593.86K","-0.46%"
"03/04/2025","667.40","680.90","682.90","662.10","615.05K","-3.39%"
"03/03/2025","690.80","691.20","700.90","685.00","481.25K","-0.59%"
"02/28/2025","694.90","683.50","694.90","680.20","864.55K","0.26%"
"02/27/2025","693.10","689.00","697.90","686.00","394.32K","-1.03%"
"02/26/2025","700.30","694.00","706.90","692.60","384.66K","2.35%"
"02/25/2025","684.20","689.10","690.50","683.20","348.74K","-1.14%"
"02/24/2025","692.10","701.40","701.90","688.50","364.36K","-1.47%"
"02/21/2025","702.40","695.50","707.10","695.50","459.12K","0.99%"
"02/20/2025","695.50","685.60","699.60","685.50","333.60K","0.67%"
"02/19/2025","690.90","702.90","703.80","688.50","426.70K","-2.01%"
"02/18/2025","705.10","705.20","707.60","699.20","338.88K","0.51%"
"02/17/2025","701.50","708.00","710.30","698.30","336.52K","-1.61%"
"02/14/2025","713.00","720.00","723.00","711.10","594.10K","0.82%"
"02/13/2025","707.20","698.80","708.80","694.50","501.43K","2.82%"
"02/12/2025","687.80","687.90","691.10","672.00","443.37K","0.38%"
"02/11/2025","685.20","681.90","687.30","677.80","297.41K","-0.01%"
"02/10/2025","685.30","684.40","687.10","678.80","336.36K","0.16%"
"02/07/2025","684.20","695.00","696.00","682.80","401.01K","-1.82%"
"02/06/2025","696.90","684.80","699.40","679.00","485.22K","1.59%"
"02/05/2025","686.00","688.00","691.70","680.00","356.96K","-0.97%"
"02/04/2025","692.70","692.30","695.30","682.90","370.85K","0.38%"
"02/03/2025","690.10","685.10","693.80","683.30","695.31K","-1.90%"
"01/31/2025","703.50","716.90","718.00","698.80","578.61K","-1.72%"
"01/30/2025","715.80","718.40","718.90","710.80","420.06K","0.36%"
"01/29/2025","713.20","720.50","722.20","700.00","984.40K","-4.98%"
"01/28/2025","750.60","749.30","762.70","746.30","567.64K","-0.56%"
"01/27/2025","754.80","735.20","754.80","728.60","633.19K","2.82%"
"01/24/2025","734.10","750.00","750.00","725.20","713.01K","1.87%"
"01/23/2025","720.60","715.10","721.40","708.90","575.49K","0.95%"
"01/22/2025","713.80","700.00","714.30","697.80","617.98K","1.78%"
"01/21/2025","701.30","684.00","701.30","683.10","521.38K","2.66%"
"01/20/2025","683.10","690.00","696.20","680.90","418.51K","-1.01%"
