"Date","Price","Open","High","Low","Vol.","Change %"
"05/09/2025","248.20","249.90","250.30","248.20","476.40K","-0.80%"
"05/08/2025","250.20","245.00","250.50","244.30","689.99K","3.09%"
"05/07/2025","242.70","244.30","244.30","241.40","524.04K","-0.45%"
"05/06/2025","243.80","242.20","243.80","238.70","469.43K","0.16%"
"05/05/2025","243.40","242.00","243.80","241.40","328.55K","0.04%"
"05/02/2025","243.30","241.00","243.40","236.40","876.66K","4.42%"
"04/30/2025","233.00","230.70","234.30","230.30","874.07K","1.13%"
"04/29/2025","230.40","234.10","235.40","230.40","598.76K","-0.39%"
"04/28/2025","231.30","231.80","234.70","229.50","639.49K","0.52%"
"04/25/2025","230.10","230.80","232.70","225.50","845.27K","4.16%"
"04/24/2025","220.90","219.40","221.20","215.70","602.86K","0.68%"
"04/23/2025","219.40","217.00","220.90","216.60","787.23K","2.33%"
"04/22/2025","214.40","213.00","215.20","209.60","794.45K","1.04%"
"04/17/2025","212.20","214.30","215.30","211.00","451.73K","-1.07%"
"04/16/2025","214.50","214.90","215.30","211.40","662.33K","-0.46%"
"04/15/2025","215.50","210.90","215.80","210.80","808.05K","2.23%"
"04/14/2025","210.80","209.30","210.80","206.00","1.02M","2.98%"
"04/11/2025","204.70","213.90","214.50","201.50","864.98K","-3.44%"
"04/10/2025","212.00","220.80","222.10","210.00","1.51M","5.74%"
"04/09/2025","200.50","206.00","208.50","195.50","1.42M","-5.16%"
"04/08/2025","211.40","207.30","213.80","205.50","1.52M","5.02%"
"04/07/2025","201.30","196.50","219.00","190.70","2.33M","-7.79%"
"04/04/2025","218.30","231.50","232.20","217.00","1.41M","-6.39%"
"04/03/2025","233.20","234.00","238.50","229.80","1.28M","-4.58%"
"04/02/2025","244.40","245.30","246.30","240.30","546.23K","-0.29%"
"04/01/2025","245.10","242.10","245.10","241.10","592.36K","1.28%"
"03/31/2025","242.00","242.00","245.60","240.20","809.70K","-1.51%"
"03/28/2025","245.70","247.40","247.70","243.00","765.41K","-1.09%"
"03/27/2025","248.40","248.00","250.10","246.20","542.95K","-0.96%"
"03/26/2025","250.80","253.60","254.50","249.80","490.82K","-1.22%"
"03/25/2025","253.90","251.20","257.10","250.80","526.84K","1.16%"
"03/24/2025","251.00","252.60","253.70","250.40","365.78K","0.24%"
"03/21/2025","250.40","250.90","253.10","247.50","1.20M","-0.83%"
"03/20/2025","252.50","256.60","256.80","249.80","502.92K","-2.13%"
"03/19/2025","258.00","252.60","258.00","252.10","617.81K","2.06%"
"03/18/2025","252.80","253.40","253.50","250.50","561.29K","0.00%"
"03/17/2025","252.80","252.40","253.20","250.30","539.13K","0.84%"
"03/14/2025","250.70","245.60","251.90","244.70","567.73K","2.28%"
"03/13/2025","245.10","251.60","252.00","245.00","711.23K","-2.16%"
"03/12/2025","250.50","243.00","251.20","241.20","976.16K","4.99%"
"03/11/2025","238.60","241.90","241.90","237.80","831.25K","0.08%"
"03/10/2025","238.40","253.40","253.40","238.40","1.34M","-4.94%"
"03/07/2025","250.80","258.90","259.50","250.80","1.28M","-3.05%"
"03/06/2025","258.70","262.90","262.90","254.70","837.13K","-0.77%"
"03/05/2025","260.70","259.90","263.80","259.20","894.11K","2.24%"
"03/04/2025","255.00","259.90","260.30","254.10","961.86K","-1.12%"
"03/03/2025","257.90","255.90","262.10","253.50","1.02M","3.12%"
"02/28/2025","250.10","248.50","250.10","247.80","797.37K","0.64%"
"02/27/2025","248.50","249.60","250.40","245.80","472.27K","-0.08%"
"02/26/2025","248.70","247.10","249.40","246.90","671.26K","1.51%"
"02/25/2025","245.00","244.00","246.80","242.60","616.23K","0.86%"
"02/24/2025","242.90","244.20","244.60","239.25","799.36K","-0.53%"
"02/21/2025","244.20","244.80","246.50","243.50","929.13K","-1.49%"
"02/20/2025","247.90","250.90","251.20","247.60","625.75K","-1.63%"
"02/19/2025","252.00","251.50","252.60","250.60","656.44K","0.28%"
"02/18/2025","251.30","253.30","256.20","251.30","800.45K","-0.32%"
"02/17/2025","252.10","248.20","252.30","248.10","601.35K","2.48%"
"02/14/2025","246.00","247.00","249.50","240.60","1.61M","0.08%"
"02/13/2025","245.80","246.00","248.50","244.10","1.27M","-0.24%"
"02/12/2025","246.40","245.50","246.80","244.10","653.42K","0.57%"
"02/11/2025","245.00","246.10","246.50","243.70","637.67K","-0.33%"
"02/10/2025","245.80","243.70","246.00","242.90","470.57K","0.90%"
"02/07/2025","243.60","242.20","243.80","240.60","610.84K","1.08%"
"02/06/2025","241.00","241.80","242.80","239.90","546.87K","-0.12%"
"02/05/2025","241.30","238.90","241.50","238.20","456.65K","0.54%"
"02/04/2025","240.00","239.90","240.40","237.10","645.79K","0.13%"
"02/03/2025","239.70","234.70","239.90","234.50","661.28K","-0.08%"
"01/31/2025","239.90","239.40","241.00","238.60","629.02K","0.63%"
"01/30/2025","238.40","237.90","239.30","236.90","470.41K","0.29%"
"01/29/2025","237.70","237.80","239.70","237.30","412.78K","-0.17%"
"01/28/2025","238.10","235.10","238.50","235.00","565.05K","1.28%"
"01/27/2025","235.10","234.50","236.40","231.20","718.82K","-0.59%"
"01/24/2025","236.50","238.00","238.10","236.00","554.61K","-0.59%"
"01/23/2025","237.90","233.50","239.00","232.00","1.01M","2.06%"
"01/22/2025","233.10","228.90","233.70","228.50","597.75K","2.42%"
"01/21/2025","227.60","226.70","229.90","226.60","551.02K","0.40%"
"01/20/2025","226.70","228.30","229.00","226.70","689.41K","-0.31%"
"01/17/2025","227.40","225.50","227.80","225.00","728.70K","1.52%"
"01/16/2025","224.00","221.90","226.10","221.50","731.69K","0.76%"
"01/15/2025","222.30","222.60","223.10","220.50","895.45K","-0.09%"
"01/14/2025","222.50","222.50","225.80","221.70","807.50K","1.64%"
"01/13/2025","218.90","219.40","219.70","215.60","618.76K","-0.68%"
"01/10/2025","220.40","221.00","222.60","220.10","550.16K","-0.09%"
"01/09/2025","220.60","215.50","221.50","215.20","416.63K","2.04%"
"01/08/2025","216.20","216.10","218.90","215.20","431.88K","0.14%"
"01/07/2025","215.90","213.20","215.90","212.60","514.55K","1.03%"
"01/06/2025","213.70","212.10","213.70","208.20","613.41K","0.99%"
"01/03/2025","211.60","214.00","214.10","211.40","431.39K","-1.54%"
"01/02/2025","214.90","211.70","214.90","210.80","595.03K","1.32%"
"12/31/2024","212.10","209.60","212.10","209.60","128.92K","0.81%"
"12/30/2024","210.40","210.40","212.30","209.60","313.53K","-0.28%"
"12/27/2024","211.00","210.00","211.10","209.10","320.32K","0.62%"
"12/24/2024","209.70","209.80","210.50","209.50","84.91K","0.05%"
"12/23/2024","209.60","210.30","211.60","208.90","363.56K","-0.19%"
"12/20/2024","210.00","210.00","211.10","207.70","1.17M","-0.57%"
"12/19/2024","211.20","211.60","212.30","210.00","561.91K","-1.35%"
"12/18/2024","214.10","211.60","214.90","211.50","461.24K","1.13%"
"12/17/2024","211.70","211.60","213.20","211.00","623.46K","0.62%"
"12/16/2024","210.40","208.50","211.50","208.50","607.37K","0.62%"
"12/13/2024","209.10","206.70","210.50","206.70","464.73K","0.48%"
"12/12/2024","208.10","210.30","210.80","208.10","515.92K","-1.05%"
"12/11/2024","210.30","205.90","210.70","205.90","598.25K","2.14%"
"12/10/2024","205.90","209.90","210.90","205.90","756.78K","-2.14%"
"12/09/2024","210.40","213.10","213.40","210.30","751.50K","-1.17%"
"12/06/2024","212.90","212.40","216.00","210.90","820.57K","0.47%"
"12/05/2024","211.90","217.10","220.70","211.50","1.83M","-7.31%"
"12/04/2024","228.60","227.00","228.60","226.10","751.10K","0.57%"
"12/03/2024","227.30","222.70","227.30","222.40","624.65K","2.48%"
"12/02/2024","221.80","218.40","222.20","217.60","574.57K","0.59%"
"11/29/2024","220.50","218.60","221.00","218.30","689.45K","0.64%"
"11/28/2024","219.10","218.10","220.10","217.70","304.81K","0.69%"
"11/27/2024","217.60","217.40","218.70","215.30","464.51K","-0.27%"
"11/26/2024","218.20","217.60","218.90","216.80","353.91K","0.00%"
"11/25/2024","218.20","223.20","223.70","217.30","2.16M","-0.86%"
"11/22/2024","220.10","220.20","221.70","216.60","427.46K","0.32%"
"11/21/2024","219.40","218.70","219.50","216.10","450.79K","0.60%"
"11/20/2024","218.10","219.70","221.30","216.90","337.70K","0.05%"
"11/19/2024","218.00","218.10","218.50","213.50","514.02K","-0.14%"
"11/18/2024","218.30","216.60","218.40","216.20","453.89K","0.55%"
"11/15/2024","217.10","216.30","218.90","216.00","480.39K","-0.64%"
"11/14/2024","218.50","220.20","221.00","217.50","575.90K","-0.23%"
"11/13/2024","219.00","217.00","219.00","216.80","665.53K","0.97%"
"11/12/2024","216.90","224.50","225.00","216.90","928.36K","-3.81%"
"11/11/2024","225.50","222.00","225.50","222.00","678.40K","2.59%"
"11/08/2024","219.80","224.10","225.40","219.80","672.11K","-1.48%"
"11/07/2024","223.10","219.80","223.60","218.40","576.18K","1.59%"
"11/06/2024","219.60","219.00","224.00","218.00","858.09K","1.10%"
"11/05/2024","217.20","211.10","217.40","210.80","676.15K","2.99%"
"11/04/2024","210.90","210.20","213.50","210.20","472.03K","0.19%"
"11/01/2024","210.50","207.80","211.10","207.80","544.92K","1.30%"
"10/31/2024","207.80","209.00","210.30","207.20","791.81K","-0.81%"
"10/30/2024","209.50","209.30","210.00","206.50","481.79K","-0.14%"
"10/29/2024","209.80","211.60","213.60","209.20","466.18K","-0.76%"
"10/28/2024","211.40","211.60","212.80","209.80","392.05K","-0.05%"
"10/25/2024","211.50","208.00","212.50","207.80","522.65K","0.62%"
"10/24/2024","210.20","210.60","211.90","209.50","328.66K","-0.14%"
"10/23/2024","210.50","208.40","212.10","208.30","388.26K","0.05%"
"10/22/2024","210.40","213.30","215.30","210.30","554.27K","-1.45%"
"10/21/2024","213.50","214.10","214.80","212.00","440.32K","-0.74%"
"10/18/2024","215.10","212.40","215.10","211.50","486.16K","0.33%"
"10/17/2024","214.40","209.10","215.20","209.10","531.36K","2.83%"
"10/16/2024","208.50","208.50","210.20","207.20","410.39K","0.05%"
"10/15/2024","208.40","209.20","210.50","207.50","795.94K","-0.19%"
"10/14/2024","208.80","205.90","208.80","205.70","353.39K","1.95%"
"10/11/2024","204.80","201.00","205.70","200.20","523.73K","1.74%"
