"Date","Price","Open","High","Low","Vol.","Change %"
"05/09/2025","92.92","92.20","93.31","91.90","2.50M","1.26%"
"05/08/2025","91.76","92.23","92.70","90.88","2.23M","0.10%"
"05/07/2025","91.67","92.97","93.68","91.20","2.80M","-4.31%"
"05/06/2025","95.80","96.09","96.78","95.10","1.48M","-0.21%"
"05/05/2025","96.00","98.04","98.07","96.00","2.30M","-1.96%"
"05/02/2025","97.92","94.90","98.36","94.81","3.12M","2.11%"
"04/30/2025","95.90","95.00","97.31","94.88","3.93M","1.77%"
"04/29/2025","94.23","93.00","94.40","92.71","1.98M","1.21%"
"04/28/2025","93.10","92.50","93.41","92.09","1.81M","0.80%"
"04/25/2025","92.36","93.80","94.32","92.13","2.81M","-1.06%"
"04/24/2025","93.35","93.97","93.97","91.93","2.48M","0.12%"
"04/23/2025","93.24","91.90","93.36","91.41","2.64M","2.28%"
"04/22/2025","91.16","90.20","91.16","88.54","2.22M","0.50%"
"04/17/2025","90.71","89.65","90.87","89.37","2.03M","0.35%"
"04/16/2025","90.39","90.31","91.62","89.64","2.68M","-1.34%"
"04/15/2025","91.62","91.25","91.91","90.01","2.21M","-0.28%"
"04/14/2025","91.88","91.35","92.02","90.76","1.75M","2.52%"
"04/11/2025","89.62","89.48","89.97","88.14","2.43M","0.64%"
"04/10/2025","89.05","91.28","92.75","88.43","3.76M","2.64%"
"04/09/2025","86.76","88.72","90.36","86.14","4.33M","-6.89%"
"04/08/2025","93.18","92.51","94.15","90.96","2.90M","1.94%"
"04/07/2025","91.41","92.39","95.34","90.02","4.01M","-4.78%"
"04/04/2025","96.00","98.12","98.63","95.93","3.89M","-3.73%"
"04/03/2025","99.72","100.20","101.90","99.50","3.04M","-0.68%"
"04/02/2025","100.40","99.98","100.40","97.94","1.93M","-1.59%"
"04/01/2025","102.02","103.30","103.64","101.76","2.49M","0.10%"
"03/31/2025","101.92","102.46","103.06","101.22","2.75M","-1.43%"
"03/28/2025","103.40","102.08","103.76","102.08","2.14M","1.51%"
