"Date","Price","Open","High","Low","Vol.","Change %"
"05/09/2025","214.80","216.65","217.55","214.60","855.42K","-0.30%"
"05/08/2025","215.45","213.90","217.40","213.45","805.83K","1.92%"
"05/07/2025","211.40","210.50","214.20","210.40","980.79K","-0.49%"
"05/06/2025","212.45","213.05","213.30","209.95","787.53K","-0.05%"
"05/05/2025","212.55","214.15","215.95","212.35","624.37K","-1.51%"
"05/02/2025","215.80","213.55","216.75","210.15","1.76M","5.68%"
"04/30/2025","204.20","203.70","206.50","200.65","1.73M","0.47%"
"04/29/2025","203.25","201.00","204.80","199.30","1.84M","-6.38%"
"04/28/2025","217.10","217.95","219.70","216.45","842.02K","-0.34%"
"04/25/2025","217.85","217.00","220.15","215.50","1.09M","2.28%"
"04/24/2025","213.00","208.85","213.00","207.15","1.03M","1.94%"
"04/23/2025","208.95","201.75","214.70","200.00","1.92M","4.68%"
"04/22/2025","199.60","202.20","202.40","196.54","1.10M","-2.78%"
"04/17/2025","205.30","209.95","211.55","203.70","755.03K","-0.27%"
"04/16/2025","205.85","205.30","206.00","201.90","1.01M","-1.37%"
"04/15/2025","208.70","202.95","210.35","202.70","1.22M","3.06%"
"04/14/2025","202.50","202.75","205.90","200.35","1.11M","2.79%"
"04/11/2025","197.00","199.48","199.50","191.26","1.36M","0.14%"
"04/10/2025","196.72","209.85","209.85","196.00","1.88M","4.96%"
"04/09/2025","187.42","185.00","190.44","183.86","1.81M","-2.56%"
"04/08/2025","192.34","191.72","195.94","189.00","1.58M","3.10%"
"04/07/2025","186.56","174.34","207.80","171.50","3.31M","-1.55%"
"04/04/2025","189.50","199.18","201.70","185.24","2.86M","-6.65%"
"04/03/2025","203.00","207.85","210.55","202.10","1.82M","-5.58%"
"04/02/2025","215.00","215.60","215.80","210.90","884.13K","-0.42%"
"04/01/2025","215.90","213.90","215.90","212.00","1.01M","2.44%"
"03/31/2025","210.75","214.15","215.30","210.15","1.46M","-2.95%"
"03/28/2025","217.15","222.40","223.25","215.80","1.64M","-3.62%"
"03/27/2025","225.30","223.25","226.95","222.30","1.08M","-1.36%"
"03/26/2025","228.40","235.80","236.90","227.10","939.20K","-2.39%"
"03/25/2025","234.00","231.15","234.70","228.25","1.10M","0.86%"
"03/24/2025","232.00","233.85","234.75","230.35","913.75K","0.11%"
"03/21/2025","231.75","234.25","235.65","230.85","2.28M","-2.22%"
"03/20/2025","237.00","240.25","242.20","236.25","1.04M","-1.88%"
"03/19/2025","241.55","236.00","242.30","235.50","1.22M","2.87%"
"03/18/2025","234.80","232.10","235.70","231.35","1.34M","1.71%"
"03/17/2025","230.85","228.40","231.75","226.05","769.55K","1.25%"
