"Date","Price","Open","High","Low","Vol.","Change %"
"05/09/2025","51.89","51.34","52.13","51.29","4.73M","1.65%"
"05/08/2025","51.05","50.64","51.15","50.55","4.39M","0.59%"
"05/07/2025","50.75","50.77","51.24","50.48","4.94M","-0.61%"
"05/06/2025","51.06","51.19","51.33","50.63","4.76M","1.09%"
"05/05/2025","50.51","50.41","51.03","50.12","4.15M","-0.69%"
"05/02/2025","50.86","51.55","51.89","50.10","6.58M","-0.59%"
"04/30/2025","51.16","51.19","51.24","50.08","8.34M","-2.27%"
"04/29/2025","52.35","52.87","52.96","52.06","4.38M","-1.08%"
"04/28/2025","52.92","53.00","53.10","52.71","3.51M","0.30%"
"04/25/2025","52.76","52.56","52.96","52.31","3.83M","1.17%"
"04/24/2025","52.15","52.11","52.51","51.87","4.29M","0.31%"
"04/23/2025","51.99","52.60","53.32","51.74","5.58M","0.23%"
"04/22/2025","51.87","51.67","52.02","51.28","3.37M","0.43%"
"04/17/2025","51.65","51.54","51.99","51.04","4.39M","-0.06%"
"04/16/2025","51.68","49.96","51.70","49.85","4.25M","2.11%"
"04/15/2025","50.61","50.26","51.05","50.14","4.39M","0.78%"
"04/14/2025","50.22","49.65","50.54","49.50","3.90M","3.20%"
"04/11/2025","48.67","49.18","49.56","48.43","6.23M","-1.72%"
"04/10/2025","49.51","52.14","52.43","49.51","8.81M","2.61%"
"04/09/2025","48.26","48.66","49.54","47.65","7.59M","-4.35%"
"04/08/2025","50.45","51.56","51.60","49.92","6.95M","0.32%"
"04/07/2025","50.29","49.56","52.70","48.60","13.42M","-5.24%"
"04/04/2025","53.07","56.00","56.06","52.96","9.36M","-6.24%"
"04/03/2025","56.60","58.28","59.01","56.29","6.89M","-4.73%"
"04/02/2025","59.41","59.50","59.73","58.99","3.96M","-0.13%"
"04/01/2025","59.49","59.81","59.96","58.99","3.32M","-0.28%"
"03/31/2025","59.66","58.98","59.80","58.56","4.73M","0.76%"
"03/28/2025","59.21","60.00","60.36","59.10","4.70M","-2.15%"
"03/27/2025","60.51","60.14","60.92","60.04","4.29M","0.17%"
"03/26/2025","60.41","59.46","60.80","59.33","7.88M","1.79%"
"03/25/2025","59.35","58.48","59.94","58.42","5.17M","2.40%"
"03/24/2025","57.96","58.61","58.81","57.90","3.58M","-0.75%"
"03/21/2025","58.40","58.72","58.90","58.30","10.31M","-0.80%"
"03/20/2025","58.87","59.01","59.47","58.36","3.32M","0.10%"
"03/19/2025","58.81","57.80","58.83","57.80","4.16M","1.45%"
"03/18/2025","57.97","57.55","58.46","57.52","4.68M","0.73%"
"03/17/2025","57.55","57.43","57.81","57.33","4.14M","0.10%"
"03/14/2025","57.49","57.21","57.72","57.01","3.79M","0.54%"
"03/13/2025","57.18","56.45","57.42","56.42","5.56M","0.97%"
"03/12/2025","56.63","56.39","56.68","56.03","5.65M","0.87%"
"03/11/2025","56.14","56.64","57.18","55.96","4.72M","-0.46%"
"03/10/2025","56.40","56.81","57.26","56.28","5.36M","-0.25%"
"03/07/2025","56.54","56.62","57.09","56.00","6.83M","0.39%"
"03/06/2025","56.32","56.74","56.85","55.92","5.41M","0.61%"
"03/05/2025","55.98","57.17","57.72","55.88","5.83M","-1.11%"
"03/04/2025","56.61","56.61","57.00","56.07","7.33M","-2.68%"
"03/03/2025","58.17","58.15","59.10","57.95","3.21M","0.67%"
"02/28/2025","57.78","57.74","57.95","57.32","6.47M","-0.07%"
"02/27/2025","57.82","57.67","58.02","57.41","3.84M","0.10%"
"02/26/2025","57.76","57.53","57.80","57.17","3.47M","0.50%"
"02/25/2025","57.47","58.17","58.57","57.47","3.47M","-1.02%"
"02/24/2025","58.06","58.37","58.46","57.78","2.90M","-0.10%"
"02/21/2025","58.12","58.61","58.73","57.87","4.48M","-1.19%"
"02/20/2025","58.82","58.50","58.90","58.36","2.99M","0.19%"
"02/19/2025","58.71","59.35","59.66","58.59","3.47M","-0.64%"
"02/18/2025","59.09","58.92","59.26","58.67","3.06M","0.32%"
"02/17/2025","58.90","58.72","59.11","58.56","2.66M","0.03%"
"02/14/2025","58.88","58.46","59.38","58.34","3.93M","0.31%"
"02/13/2025","58.70","58.22","58.81","58.22","4.14M","-0.53%"
"02/12/2025","59.01","58.80","59.14","58.28","3.78M","0.25%"
"02/11/2025","58.86","58.52","59.06","58.47","3.80M","0.41%"
"02/10/2025","58.62","59.06","59.55","58.62","4.17M","-0.44%"
"02/07/2025","58.88","58.70","59.03","58.53","4.80M","0.46%"
"02/06/2025","58.61","58.17","59.31","58.16","4.75M","1.03%"
"02/05/2025","58.01","57.03","58.11","57.03","5.15M","1.74%"
"02/04/2025","57.02","55.77","57.20","55.46","4.55M","1.88%"
"02/03/2025","55.97","55.54","56.14","55.50","4.57M","-0.74%"
"01/31/2025","56.39","56.48","56.74","56.06","4.45M","0.41%"
"01/30/2025","56.16","55.94","56.42","55.58","4.05M","0.65%"
"01/29/2025","55.80","55.73","55.93","55.20","2.95M","0.09%"
"01/28/2025","55.75","56.22","56.36","55.58","3.78M","0.11%"
"01/27/2025","55.69","56.00","56.13","55.69","3.81M","-0.27%"
"01/24/2025","55.84","56.14","56.44","55.67","4.07M","-0.53%"
"01/23/2025","56.14","56.23","56.79","56.12","4.85M","-0.43%"
"01/22/2025","56.38","56.32","56.85","56.08","4.17M","-0.46%"
